input size, runtime(ms)
100,0
600,0
1100,0
1600,0
2100,0
2600,0
3100,1
3600,1
4100,1
4600,2
5100,1
5600,2
6100,2
6600,3
7100,3
7600,3
8100,4
8600,4
9100,4
9600,4
10100,5
10600,5
11100,5
11600,5
12100,5
12600,6
13100,6
13600,6
14100,6
14600,6
15100,7
15600,8
16100,7
16600,7
17100,7
17600,8
18100,8
18600,9
19100,9
19600,10
20100,9
20600,10
21100,9
21600,10
22100,11
22600,10
23100,11
23600,13
24100,11
24600,12
25100,11
25600,12
26100,13
26600,12
27100,14
27600,13
28100,13
28600,14
29100,14
29600,16
30100,15
30600,14
31100,15
31600,15
32100,16
32600,19
33100,16
33600,19
34100,16
34600,16
35100,17
35600,18
36100,17
36600,19
37100,19
37600,21
38100,19
38600,20
39100,20
39600,20
40100,19
40600,19
41100,20
41600,22
42100,21
42600,20
43100,22
43600,20
44100,23
44600,22
45100,22
45600,22
46100,23
46600,23
47100,22
47600,23
48100,27
48600,23
49100,24
49600,24
50100,24
50600,24
51100,25
51600,27
52100,26
52600,25
53100,26
53600,30
54100,29
54600,28
55100,28
55600,26
56100,28
56600,29
57100,30
57600,30
58100,29
58600,30
59100,35
59600,31
60100,30
60600,30
61100,31
61600,36
62100,32
62600,31
63100,30
63600,32
64100,34
64600,33
65100,33
65600,33
66100,35
66600,33
67100,33
67600,35
68100,37
68600,37
69100,41
69600,36
70100,37
70600,35
71100,37
71600,36
72100,41
72600,36
73100,37
73600,37
74100,38
74600,40
75100,37
75600,41
76100,41
76600,40
77100,40
77600,42
78100,39
78600,42
79100,41
79600,42
80100,43
80600,42
81100,42
81600,42
82100,43
82600,44
83100,47
83600,46
84100,47
84600,45
85100,48
85600,43
86100,46
86600,44
87100,48
87600,43
88100,52
88600,47
89100,50
89600,48
90100,48
90600,46
91100,53
91600,49
92100,49
92600,50
93100,52
93600,49
94100,53
94600,51
95100,50
95600,48
96100,56
96600,52
97100,58
97600,49
98100,56
98600,53
99100,53
99600,53
100100,54
100600,52
101100,59
101600,57
102100,58
102600,55
103100,59
103600,56
104100,58
104600,57
105100,56
105600,55
106100,59
106600,59
107100,60
107600,57
108100,57
108600,57
109100,60
109600,62
110100,64
110600,65
111100,61
111600,59
112100,60
112600,61
113100,61
113600,63
114100,61
114600,62
115100,62
115600,64
116100,61
116600,63
117100,61
117600,67
118100,63
118600,64
119100,66
119600,65
120100,66
120600,65
121100,64
121600,66
122100,63
122600,69
123100,67
123600,66
124100,66
124600,71
125100,66
125600,68
126100,68
126600,72
127100,71
127600,75
128100,74
128600,73
129100,69
129600,73
130100,83
130600,77
131100,72
131600,73
132100,73
132600,73
133100,73
133600,73
134100,70
134600,71
135100,76
135600,75
136100,74
136600,77
137100,81
137600,74
138100,78
138600,80
139100,80
139600,78
140100,77
140600,79
141100,82
141600,80
142100,81
142600,81
143100,86
143600,81
144100,78
144600,84
145100,83
145600,81
146100,82
146600,81
147100,81
147600,84
148100,82
148600,86
149100,88
149600,86
150100,83
150600,84
151100,84
151600,84
152100,85
152600,87
153100,85
153600,89
154100,85
154600,85
155100,90
155600,91
156100,89
156600,86
157100,88
157600,89
158100,94
158600,91
159100,91
159600,88
160100,89
160600,93
161100,94
161600,91
162100,89
162600,89
163100,87
163600,94
164100,90
164600,92
165100,91
165600,96
166100,95
166600,95
167100,98
167600,97
168100,98
168600,94
169100,110
169600,96
170100,98
170600,94
171100,95
171600,95
172100,99
172600,98
173100,94
173600,97
174100,96
174600,100
175100,98
175600,103
176100,100
176600,103
177100,96
177600,105
178100,101
178600,100
179100,109
179600,102
180100,100
180600,102
181100,102
181600,98
182100,105
182600,101
183100,103
183600,106
184100,109
184600,105
185100,109
185600,105
186100,105
186600,103
187100,104
187600,104
188100,110
188600,106
189100,101
189600,111
190100,108
190600,109
191100,109
191600,107
192100,108
192600,110
193100,111
193600,109
194100,111
194600,107
195100,110
195600,109
196100,108
196600,110
197100,110
197600,110
198100,110
198600,112
199100,115
199600,112
