input size, runtime in ms(unsorted), runtime in ms(ascending), runtime in ms(descending), swaps(unsorted), swaps(ascending), swaps(descending)
100,0,0,0, 95,50,0
300,0,0,0, 294,150,0
500,2,1,1, 495,250,0
700,3,3,3, 691,350,0
900,5,5,6, 895,450,0
1100,8,8,8, 1092,550,0
1300,12,11,12, 1294,650,0
1500,16,15,15, 1491,750,0
1700,21,19,20, 1691,850,0
1900,26,25,24, 1890,950,0
2100,32,28,29, 2095,1050,0
2300,38,35,35, 2292,1150,0
2500,44,44,44, 2489,1250,0
2700,53,50,52, 2693,1350,0
2900,61,57,59, 2886,1450,0
3100,71,69,67, 3091,1550,0
3300,82,75,77, 3293,1650,0
3500,89,86,88, 3494,1750,0
3700,100,95,96, 3693,1850,0
3900,111,108,107, 3889,1950,0
4100,122,115,122, 4095,2050,0
4300,141,133,132, 4293,2150,0
4500,152,146,145, 4493,2250,0
4700,169,167,160, 4694,2350,0
4900,183,172,171, 4892,2450,0
5100,192,182,185, 5091,2550,0
5300,201,200,205, 5291,2650,0
5500,230,214,218, 5490,2750,0
5700,240,227,236, 5695,2850,0
5900,255,240,242, 5895,2950,0
6100,272,261,261, 6091,3050,0
6300,300,271,283, 6290,3150,0
6500,303,286,293, 6487,3250,0
6700,331,312,321, 6688,3350,0
6900,349,331,336, 6892,3450,0
7100,375,350,348, 7091,3550,0
7300,391,370,373, 7291,3650,0
7500,416,389,401, 7492,3750,0
7700,442,413,426, 7693,3850,0
7900,455,426,426, 7891,3950,0
8100,481,456,462, 8091,4050,0
8300,497,469,480, 8293,4150,0
8500,528,497,511, 8491,4250,0
8700,557,524,535, 8687,4350,0
8900,580,545,551, 8886,4450,0
9100,600,573,576, 9094,4550,0
9300,640,597,606, 9293,4650,0
9500,669,615,625, 9489,4750,0
9700,697,670,663, 9694,4850,0
9900,725,681,702, 9888,4950,0
10100,772,711,703, 10086,5050,0
10300,778,730,772, 10286,5150,0
10500,839,802,765, 10490,5250,0
10700,834,790,803, 10690,5350,0
10900,862,804,822, 10892,5450,0
11100,900,850,860, 11092,5550,0
11300,937,884,879, 11292,5650,0
11500,968,916,939, 11492,5750,0
11700,1013,925,941, 11689,5850,0
11900,1020,974,985, 11894,5950,0
12100,1060,997,1016, 12089,6050,0
12300,1087,1018,1038, 12284,6150,0
12500,1122,1058,1055, 12492,6250,0
12700,1144,1070,1097, 12691,6350,0
12900,1181,1118,1124, 12894,6450,0
13100,1213,1141,1157, 13091,6550,0
13300,1261,1180,1196, 13288,6650,0
13500,1296,1227,1232, 13489,6750,0
13700,1326,1256,1282, 13690,6850,0
13900,1399,1323,1328, 13887,6950,0
14100,1452,1368,1336, 14095,7050,0
14300,1407,1365,1424, 14292,7150,0
14500,1521,1423,1448, 14486,7250,0
14700,1564,1452,1488, 14695,7350,0
14900,1607,1505,1546, 14887,7450,0
15100,1655,1596,1594, 15090,7550,0
15300,1684,1600,1612, 15293,7650,0
15500,1746,1582,1653, 15488,7750,0
15700,1823,1721,1690, 15692,7850,0
15900,1855,1748,1782, 15888,7950,0
16100,1908,1793,1802, 16092,8050,0
16300,1956,1821,1835, 16292,8150,0
16500,1997,1880,1920, 16491,8250,0
16700,2015,1935,1989, 16693,8350,0
16900,2087,1963,1988, 16891,8450,0
17100,2127,1980,2026, 17091,8550,0
17300,2173,2063,2073, 17289,8650,0
17500,2208,2094,2103, 17486,8750,0
17700,2248,2113,2166, 17690,8850,0
17900,2301,2167,2185, 17894,8950,0
18100,2342,2222,2244, 18093,9050,0
18300,2414,2256,2291, 18292,9150,0
18500,2425,2218,2265, 18488,9250,0
18700,2515,2361,2405, 18689,9350,0
18900,2601,2434,2486, 18892,9450,0
19100,2659,2480,2515, 19092,9550,0
19300,2700,2559,2574, 19292,9650,0
19500,2760,2593,2638, 19488,9750,0
19700,2840,2656,2702, 19689,9850,0
19900,2919,2739,2758, 19894,9950,0
